Institute ID,Name,City,State,Score,Rank,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),Category
IR-C-C-11991,Bethune CollegeMore Details,Kolkata,West Bengal,51.23,88,66.42,10.13,59.27,36.01,47.24,College
IR-C-C-8023,Farook CollegeMore Details,Kozhikode,Kerala,51.23,88,62.27,7.63,73.95,56.08,10.85,College
IR-C-C-9562,Mahendra Arts & Science CollegeMore Details,Namakkal,Tamil Nadu,51.14,90,58.29,16.19,74.62,56.5,10.85,College
IR-C-C-33555,St. Xavier`s CollegeMore Details,Mumbai,Maharashtra,51.14,90,52.65,12.07,68.39,57.38,54.26,College
IR-C-C-6566,Mahatma Gandhi Government Arts CollegeMore Details,Mahe,Pondicherry,50.89,92,67.29,6.34,71.11,49.4,2.99,College
IR-C-C-43760,Mahatma Gandhi CollegeMore Details,Thiruvananthapuram,Kerala,50.59,93,66.87,26.08,57.25,51.34,4.87,College
IR-C-C-11971,Lady Brabourne CollegeMore Details,Kolkata,West Bengal,50.47,94,61.74,6.76,60.64,37.24,58.78,College
IR-C-C-43806,Nehru Arts and Science CollegeMore Details,Kasaragod,Kerala,50.46,95,65.38,1.37,74.53,50.93,3.94,College
IR-C-C-6409,Deshbandhu CollegeMore Details,New Delhi,Delhi,50.38,96,68.76,17.32,50.65,59.37,16.77,College
IR-C-C-11660,St. Alberts CollegeMore Details,Ernakulam,Kerala,50.34,97,61.27,10.23,73.98,56.07,2.02,College
IR-C-C-43600,Government Arts CollegeMore Details,Thiruvananthapuram,Kerala,50.22,98,70.78,0.51,65.71,48.21,5.77,College
IR-C-C-8008,Vimala CollegeMore Details,Thrissur,Kerala,50.2,99,62.49,6.32,73.26,55.55,3.94,College
